"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2026-01","Québec, Quebec","2021S0503421","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642707731","7.8.1.1","3.2","","","","1"
"2026-02","Québec, Quebec","2021S0503421","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642707731","7.8.1.1","3.1","","","","1"
"2025-10","Sherbrooke, Quebec","2021S0503433","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708001","8.8.1.1","5.4","","","","1"
"2025-11","Sherbrooke, Quebec","2021S0503433","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708001","8.8.1.1","4.6","","","","1"
"2025-12","Sherbrooke, Quebec","2021S0503433","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708001","8.8.1.1","4.8","","","","1"
"2026-01","Sherbrooke, Quebec","2021S0503433","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708001","8.8.1.1","4.7","","","","1"
"2026-02","Sherbrooke, Quebec","2021S0503433","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708001","8.8.1.1","5.3","","","","1"
"2025-10","Trois-Rivières, Quebec","2021S0503442","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708271","9.8.1.1","4.3","","","","1"
"2025-11","Trois-Rivières, Quebec","2021S0503442","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708271","9.8.1.1","4.0","","","","1"
"2025-12","Trois-Rivières, Quebec","2021S0503442","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708271","9.8.1.1","3.9","","","","1"
"2026-01","Trois-Rivières, Quebec","2021S0503442","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708271","9.8.1.1","4.2","","","","1"
"2026-02","Trois-Rivières, Quebec","2021S0503442","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708271","9.8.1.1","4.3","","","","1"
"2025-10","Drummondville, Québec ","2021S0503447","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708541","10.8.1.1","5.5","","","","1"
"2025-11","Drummondville, Québec ","2021S0503447","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708541","10.8.1.1","5.0","","","","1"
"2025-12","Drummondville, Québec ","2021S0503447","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708541","10.8.1.1","5.6","","","","1"
"2026-01","Drummondville, Québec ","2021S0503447","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708541","10.8.1.1","6.1","","","","1"
"2026-02","Drummondville, Québec ","2021S0503447","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708541","10.8.1.1","7.2","","","","1"
"2025-10","Montréal, Quebec","2021S0503462","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708811","11.8.1.1","6.3","","","","1"
"2025-11","Montréal, Quebec","2021S0503462","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708811","11.8.1.1","5.4","","","","1"
"2025-12","Montréal, Quebec","2021S0503462","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708811","11.8.1.1","5.5","","","","1"
"2026-01","Montréal, Quebec","2021S0503462","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708811","11.8.1.1","5.9","","","","1"
"2026-02","Montréal, Quebec","2021S0503462","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708811","11.8.1.1","6.5","","","","1"
"2025-10","Ottawa-Gatineau, Ontario/Quebec","","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709081","12.8.1.1","7.8","","","","1"
"2025-11","Ottawa-Gatineau, Ontario/Quebec","","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709081","12.8.1.1","7.1","","","","1"
