"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2026-02","Québec, Quebec","2021S0503421","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642707785","7.10.1.1","66.8","","","","1"
"2025-10","Sherbrooke, Quebec","2021S0503433","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708055","8.10.1.1","60.2","","","","1"
"2025-11","Sherbrooke, Quebec","2021S0503433","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708055","8.10.1.1","60.3","","","","1"
"2025-12","Sherbrooke, Quebec","2021S0503433","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708055","8.10.1.1","60.4","","","","1"
"2026-01","Sherbrooke, Quebec","2021S0503433","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708055","8.10.1.1","60.0","","","","1"
"2026-02","Sherbrooke, Quebec","2021S0503433","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708055","8.10.1.1","59.5","","","","1"
"2025-10","Trois-Rivières, Quebec","2021S0503442","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708325","9.10.1.1","60.2","","","","1"
"2025-11","Trois-Rivières, Quebec","2021S0503442","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708325","9.10.1.1","60.2","","","","1"
"2025-12","Trois-Rivières, Quebec","2021S0503442","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708325","9.10.1.1","60.5","","","","1"
"2026-01","Trois-Rivières, Quebec","2021S0503442","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708325","9.10.1.1","60.2","","","","1"
"2026-02","Trois-Rivières, Quebec","2021S0503442","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708325","9.10.1.1","59.7","","","","1"
"2025-10","Drummondville, Québec ","2021S0503447","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708595","10.10.1.1","60.9","","","","1"
"2025-11","Drummondville, Québec ","2021S0503447","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708595","10.10.1.1","60.9","","","","1"
"2025-12","Drummondville, Québec ","2021S0503447","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708595","10.10.1.1","60.9","","","","1"
"2026-01","Drummondville, Québec ","2021S0503447","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708595","10.10.1.1","59.7","","","","1"
"2026-02","Drummondville, Québec ","2021S0503447","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708595","10.10.1.1","59.2","","","","1"
"2025-10","Montréal, Quebec","2021S0503462","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708865","11.10.1.1","62.5","","","","1"
